Dataset,Req_ID,Type,Split,PairGroupID,GoldLinkCount,DensityGroup,Code_File,Label,PairRole,SampledWithReplacement
Industrial,R20,NFR,heldout,1,1,1-2,FILE_09,1,positive,False
Industrial,R20,NFR,heldout,1,1,1-2,FILE_22,0,negative,False
Industrial,R21,NFR,heldout,2,1,1-2,FILE_04,1,positive,False
Industrial,R21,NFR,heldout,2,1,1-2,FILE_19,0,negative,False
Industrial,R24,NFR,heldout,3,1,1-2,FILE_15,1,positive,False
Industrial,R24,NFR,heldout,3,1,1-2,FILE_04,0,negative,False
Industrial,R26,NFR,heldout,4,1,1-2,FILE_09,1,positive,False
Industrial,R26,NFR,heldout,4,1,1-2,FILE_08,0,negative,False
Industrial,R28,FR,heldout,5,1,1-2,FILE_09,1,positive,False
Industrial,R28,FR,heldout,5,1,1-2,FILE_10,0,negative,False
Industrial,R29,FR,heldout,6,1,1-2,FILE_03,1,positive,False
Industrial,R29,FR,heldout,6,1,1-2,FILE_14,0,negative,False
Industrial,R36,FR,heldout,7,1,1-2,FILE_04,1,positive,False
Industrial,R36,FR,heldout,7,1,1-2,FILE_05,0,negative,False
Industrial,R37,FR,heldout,8,1,1-2,FILE_13,1,positive,False
Industrial,R37,FR,heldout,8,1,1-2,FILE_15,0,negative,False
Industrial,R38,FR,heldout,9,1,1-2,FILE_15,1,positive,False
Industrial,R38,FR,heldout,9,1,1-2,FILE_17,0,negative,False
Industrial,R40,FR,heldout,10,1,1-2,FILE_15,1,positive,False
Industrial,R40,FR,heldout,10,1,1-2,FILE_07,0,negative,False
Industrial,R41,FR,heldout,11,1,1-2,FILE_15,1,positive,False
Industrial,R41,FR,heldout,11,1,1-2,FILE_01,0,negative,False
