Dataset,Req_ID,Type,Split,PairGroupID,GoldLinkCount,DensityGroup,Code_File,Label,PairRole,SampledWithReplacement
LibEST,RQ11,FR,heldout,1,4,3-10,est_client.c,1,positive,False
LibEST,RQ11,FR,heldout,1,4,3-10,est.h,0,negative,False
LibEST,RQ11,FR,heldout,2,4,3-10,est_locl.h,1,positive,False
LibEST,RQ11,FR,heldout,2,4,3-10,est.c,0,negative,False
LibEST,RQ11,FR,heldout,3,4,3-10,est_proxy.c,1,positive,False
LibEST,RQ11,FR,heldout,3,4,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ11,FR,heldout,4,4,3-10,est_server.c,1,positive,False
LibEST,RQ11,FR,heldout,4,4,3-10,est_server_http.h,0,negative,False
LibEST,RQ13-1,FR,heldout,5,7,3-10,est.c,1,positive,False
LibEST,RQ13-1,FR,heldout,5,7,3-10,est_ossl_util.h,0,negative,False
LibEST,RQ13-1,FR,heldout,6,7,3-10,est_client.c,1,positive,False
LibEST,RQ13-1,FR,heldout,6,7,3-10,est_ossl_util.c,0,negative,False
LibEST,RQ13-1,FR,heldout,7,7,3-10,est_client_http.c,1,positive,False
LibEST,RQ13-1,FR,heldout,7,7,3-10,est.h,0,negative,False
LibEST,RQ13-1,FR,heldout,8,7,3-10,est_locl.h,1,positive,False
LibEST,RQ13-1,FR,heldout,8,7,3-10,est_server_http.h,0,negative,False
LibEST,RQ13-1,FR,heldout,9,7,3-10,est_proxy.c,1,positive,False
LibEST,RQ13-1,FR,heldout,9,7,3-10,est_server_http.c,0,negative,False
LibEST,RQ13-1,FR,heldout,10,7,3-10,est_server.c,1,positive,False
LibEST,RQ13-1,FR,heldout,10,7,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ13-1,FR,heldout,11,7,3-10,est_server.h,1,positive,False
LibEST,RQ13-1,FR,heldout,11,7,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ13-2,NFR,heldout,12,7,3-10,est.c,1,positive,False
LibEST,RQ13-2,NFR,heldout,12,7,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ13-2,NFR,heldout,13,7,3-10,est_client.c,1,positive,False
LibEST,RQ13-2,NFR,heldout,13,7,3-10,est_ossl_util.h,0,negative,False
LibEST,RQ13-2,NFR,heldout,14,7,3-10,est_client_http.c,1,positive,False
LibEST,RQ13-2,NFR,heldout,14,7,3-10,est_server_http.c,0,negative,False
LibEST,RQ13-2,NFR,heldout,15,7,3-10,est_locl.h,1,positive,False
LibEST,RQ13-2,NFR,heldout,15,7,3-10,est.h,0,negative,False
LibEST,RQ13-2,NFR,heldout,16,7,3-10,est_proxy.c,1,positive,False
LibEST,RQ13-2,NFR,heldout,16,7,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ13-2,NFR,heldout,17,7,3-10,est_server.c,1,positive,False
LibEST,RQ13-2,NFR,heldout,17,7,3-10,est_ossl_util.c,0,negative,False
LibEST,RQ13-2,NFR,heldout,18,7,3-10,est_server.h,1,positive,False
LibEST,RQ13-2,NFR,heldout,18,7,3-10,est_server_http.h,0,negative,False
LibEST,RQ14,FR,heldout,19,1,1-2,est_server.c,1,positive,False
LibEST,RQ14,FR,heldout,19,1,1-2,est_server_http.c,0,negative,False
LibEST,RQ15,FR,heldout,20,4,3-10,est_locl.h,1,positive,False
LibEST,RQ15,FR,heldout,20,4,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ15,FR,heldout,21,4,3-10,est_proxy.c,1,positive,False
LibEST,RQ15,FR,heldout,21,4,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ15,FR,heldout,22,4,3-10,est_server.c,1,positive,False
LibEST,RQ15,FR,heldout,22,4,3-10,est_client.c,0,negative,False
LibEST,RQ15,FR,heldout,23,4,3-10,est_server_http.c,1,positive,False
LibEST,RQ15,FR,heldout,23,4,3-10,est.h,0,negative,False
LibEST,RQ16,Mixed,validation,24,8,3-10,est.c,1,positive,False
LibEST,RQ16,Mixed,validation,24,8,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ16,Mixed,validation,25,8,3-10,est_client.c,1,positive,False
LibEST,RQ16,Mixed,validation,25,8,3-10,est_server.h,0,negative,False
LibEST,RQ16,Mixed,validation,26,8,3-10,est_client_http.c,1,positive,False
LibEST,RQ16,Mixed,validation,26,8,3-10,est_ossl_util.h,0,negative,False
LibEST,RQ16,Mixed,validation,27,8,3-10,est_locl.h,1,positive,False
LibEST,RQ16,Mixed,validation,27,8,3-10,est.h,0,negative,False
LibEST,RQ16,Mixed,validation,28,8,3-10,est_proxy.c,1,positive,False
LibEST,RQ16,Mixed,validation,28,8,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ16,Mixed,validation,29,8,3-10,est_server.c,1,positive,False
LibEST,RQ16,Mixed,validation,29,8,3-10,est_ossl_util.c,0,negative,False
LibEST,RQ16,Mixed,validation,30,8,3-10,est_server_http.c,1,positive,False
LibEST,RQ16,Mixed,validation,30,8,3-10,est_server.h,0,negative,True
LibEST,RQ16,Mixed,validation,31,8,3-10,est_server_http.h,1,positive,False
LibEST,RQ16,Mixed,validation,31,8,3-10,est_ossl_util.c,0,negative,True
LibEST,RQ17,FR,heldout,32,5,3-10,est_client.c,1,positive,False
LibEST,RQ17,FR,heldout,32,5,3-10,est_ossl_util.h,0,negative,False
LibEST,RQ17,FR,heldout,33,5,3-10,est_locl.h,1,positive,False
LibEST,RQ17,FR,heldout,33,5,3-10,est.h,0,negative,False
LibEST,RQ17,FR,heldout,34,5,3-10,est_proxy.c,1,positive,False
LibEST,RQ17,FR,heldout,34,5,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ17,FR,heldout,35,5,3-10,est_server.c,1,positive,False
LibEST,RQ17,FR,heldout,35,5,3-10,est_client_http.c,0,negative,False
LibEST,RQ17,FR,heldout,36,5,3-10,est_server.h,1,positive,False
LibEST,RQ17,FR,heldout,36,5,3-10,est_server_http.h,0,negative,False
LibEST,RQ18-1,FR,heldout,37,8,3-10,est.c,1,positive,False
LibEST,RQ18-1,FR,heldout,37,8,3-10,est_proxy.c,0,negative,False
LibEST,RQ18-1,FR,heldout,38,8,3-10,est_client.c,1,positive,False
LibEST,RQ18-1,FR,heldout,38,8,3-10,est.h,0,negative,False
LibEST,RQ18-1,FR,heldout,39,8,3-10,est_client_http.c,1,positive,False
LibEST,RQ18-1,FR,heldout,39,8,3-10,est_ossl_util.h,0,negative,False
LibEST,RQ18-1,FR,heldout,40,8,3-10,est_locl.h,1,positive,False
LibEST,RQ18-1,FR,heldout,40,8,3-10,est_client_proxy.h,0,negative,False
LibEST,RQ18-1,FR,heldout,41,8,3-10,est_server.c,1,positive,False
LibEST,RQ18-1,FR,heldout,41,8,3-10,est_ossl_util.c,0,negative,False
LibEST,RQ18-1,FR,heldout,42,8,3-10,est_server.h,1,positive,False
LibEST,RQ18-1,FR,heldout,42,8,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ18-1,FR,heldout,43,8,3-10,est_server_http.c,1,positive,False
LibEST,RQ18-1,FR,heldout,43,8,3-10,est_client_proxy.h,0,negative,True
LibEST,RQ18-1,FR,heldout,44,8,3-10,est_server_http.h,1,positive,False
LibEST,RQ18-1,FR,heldout,44,8,3-10,est_client_proxy.c,0,negative,True
LibEST,RQ18-2,NFR,heldout,45,8,3-10,est.c,1,positive,False
LibEST,RQ18-2,NFR,heldout,45,8,3-10,est_client_proxy.c,0,negative,False
LibEST,RQ18-2,NFR,heldout,46,8,3-10,est_client.c,1,positive,False
LibEST,RQ18-2,NFR,heldout,46,8,3-10,est.h,0,negative,False
