Dataset,Req_ID,Type,Split,PairGroupID,GoldLinkCount,DensityGroup,Code_File,Label,PairRole,SampledWithReplacement
eANCI,EA1,Mixed,heldout,1,11,>10,AccessManager.java,1,positive,False
eANCI,EA1,Mixed,heldout,1,11,>10,ServletRicercaPratica.java,0,negative,False
eANCI,EA1,Mixed,heldout,2,11,>10,Accesso.java,1,positive,False
eANCI,EA1,Mixed,heldout,2,11,>10,DbCartaIdentita.java,0,negative,False
eANCI,EA1,Mixed,heldout,3,11,>10,AdminManager.java,1,positive,False
eANCI,EA1,Mixed,heldout,3,11,>10,CartaIdentita.java,0,negative,False
eANCI,EA1,Mixed,heldout,4,11,>10,Amministratore.java,1,positive,False
eANCI,EA1,Mixed,heldout,4,11,>10,Richiesta.java,0,negative,False
eANCI,EA1,Mixed,heldout,5,11,>10,DbAccesso.java,1,positive,False
eANCI,EA1,Mixed,heldout,5,11,>10,NucleoFamiliare.java,0,negative,False
eANCI,EA1,Mixed,heldout,6,11,>10,DbAmministratore.java,1,positive,False
eANCI,EA1,Mixed,heldout,6,11,>10,ImpiegatoManager.java,0,negative,False
eANCI,EA1,Mixed,heldout,7,11,>10,DbConnection.java,1,positive,False
eANCI,EA1,Mixed,heldout,7,11,>10,DbCittadino.java,0,negative,False
eANCI,EA1,Mixed,heldout,8,11,>10,DbException.java,1,positive,False
eANCI,EA1,Mixed,heldout,8,11,>10,DbCambioResidenza.java,0,negative,False
eANCI,EA1,Mixed,heldout,9,11,>10,ServletAnnulla.java,1,positive,False
eANCI,EA1,Mixed,heldout,9,11,>10,ServletMostraAccessoA.java,0,negative,False
eANCI,EA1,Mixed,heldout,10,11,>10,ServletLogin.java,1,positive,False
eANCI,EA1,Mixed,heldout,10,11,>10,ControllerFiles.java,0,negative,False
eANCI,EA1,Mixed,heldout,11,11,>10,ServletMostraAccesso.java,1,positive,False
eANCI,EA1,Mixed,heldout,11,11,>10,ServletInserisciImpiegato.java,0,negative,False
eANCI,EA10,FR,heldout,12,10,3-10,AccessManager.java,1,positive,False
eANCI,EA10,FR,heldout,12,10,3-10,ServletCreaPdfCittadino.java,0,negative,False
eANCI,EA10,FR,heldout,13,10,3-10,Accesso.java,1,positive,False
eANCI,EA10,FR,heldout,13,10,3-10,ServletVisualizzaPratiche.java,0,negative,False
eANCI,EA10,FR,heldout,14,10,3-10,AdminManager.java,1,positive,False
eANCI,EA10,FR,heldout,14,10,3-10,ServletRicercaAmministratore.java,0,negative,False
eANCI,EA10,FR,heldout,15,10,3-10,DbAccesso.java,1,positive,False
eANCI,EA10,FR,heldout,15,10,3-10,NucleoFamiliare.java,0,negative,False
eANCI,EA10,FR,heldout,16,10,3-10,DbImpiegato.java,1,positive,False
eANCI,EA10,FR,heldout,16,10,3-10,CartaIdentita.java,0,negative,False
eANCI,EA10,FR,heldout,17,10,3-10,Impiegato.java,1,positive,False
eANCI,EA10,FR,heldout,17,10,3-10,ServletLogin.java,0,negative,False
eANCI,EA10,FR,heldout,18,10,3-10,ImpiegatoManager.java,1,positive,False
eANCI,EA10,FR,heldout,18,10,3-10,ServletModificaResidenza.java,0,negative,False
eANCI,EA10,FR,heldout,19,10,3-10,ServletAnnulla.java,1,positive,False
eANCI,EA10,FR,heldout,19,10,3-10,DbAmministratore.java,0,negative,False
eANCI,EA10,FR,heldout,20,10,3-10,ServletLogout.java,1,positive,False
eANCI,EA10,FR,heldout,20,10,3-10,ServletEliminaCittadino.java,0,negative,False
eANCI,EA10,FR,heldout,21,10,3-10,ServletMostraAccesso.java,1,positive,False
eANCI,EA10,FR,heldout,21,10,3-10,Comune.java,0,negative,False
eANCI,EA11,FR,heldout,22,17,>10,AccessManager.java,1,positive,False
eANCI,EA11,FR,heldout,22,17,>10,ServletInserisciAmministratore.java,0,negative,False
eANCI,EA11,FR,heldout,23,17,>10,Accesso.java,1,positive,False
eANCI,EA11,FR,heldout,23,17,>10,ControllerFiles.java,0,negative,False
eANCI,EA11,FR,heldout,24,17,>10,CIManager.java,1,positive,False
eANCI,EA11,FR,heldout,24,17,>10,ServletCreaPdfCambioAbitazione.java,0,negative,False
eANCI,EA11,FR,heldout,25,17,>10,CartaIdentita.java,1,positive,False
eANCI,EA11,FR,heldout,25,17,>10,Comune.java,0,negative,False
eANCI,EA11,FR,heldout,26,17,>10,Cittadino.java,1,positive,False
eANCI,EA11,FR,heldout,26,17,>10,ServletVisualizzaPratiche.java,0,negative,False
eANCI,EA11,FR,heldout,27,17,>10,CittadinoManager.java,1,positive,False
eANCI,EA11,FR,heldout,27,17,>10,ServletModificaAccesso.java,0,negative,False
eANCI,EA11,FR,heldout,28,17,>10,DbCartaIdentita.java,1,positive,False
eANCI,EA11,FR,heldout,28,17,>10,ServletEliminaAmministratore.java,0,negative,False
eANCI,EA11,FR,heldout,29,17,>10,DbCittadino.java,1,positive,False
eANCI,EA11,FR,heldout,29,17,>10,ServletRicercaImpiegato.java,0,negative,False
eANCI,EA11,FR,heldout,30,17,>10,DbConnection.java,1,positive,False
eANCI,EA11,FR,heldout,30,17,>10,DbCambioResidenza.java,0,negative,False
eANCI,EA11,FR,heldout,31,17,>10,DbException.java,1,positive,False
eANCI,EA11,FR,heldout,31,17,>10,ServletEliminaCittadino.java,0,negative,False
eANCI,EA11,FR,heldout,32,17,>10,DbNucleoFamiliare.java,1,positive,False
eANCI,EA11,FR,heldout,32,17,>10,ServletInserisciImpiegato.java,0,negative,False
eANCI,EA11,FR,heldout,33,17,>10,NucleoFamiliare.java,1,positive,False
eANCI,EA11,FR,heldout,33,17,>10,Impiegato.java,0,negative,False
eANCI,EA11,FR,heldout,34,17,>10,NucleoFamiliareManager.java,1,positive,False
eANCI,EA11,FR,heldout,34,17,>10,ServletMostraAccesso.java,0,negative,False
eANCI,EA11,FR,heldout,35,17,>10,ServletAnnulla.java,1,positive,False
eANCI,EA11,FR,heldout,35,17,>10,ServletRicercaAmministratore.java,0,negative,False
eANCI,EA11,FR,heldout,36,17,>10,ServletModificaCittadino.java,1,positive,False
eANCI,EA11,FR,heldout,36,17,>10,ServletCreaPdfCertificati.java,0,negative,False
