Dataset,Req_ID,Type,Split,PairGroupID,GoldLinkCount,DensityGroup,Code_File,Label,PairRole,SampledWithReplacement
eTour,UC1-1,FR,heldout,1,4,3-10,CulturalHeritage.java,1,positive,False
eTour,UC1-1,FR,heldout,1,4,3-10,ITouristClientManager.java,0,negative,False
eTour,UC1-1,FR,heldout,2,4,3-10,CulturalHeritageAgencyManager.java,1,positive,False
eTour,UC1-1,FR,heldout,2,4,3-10,BeanMenu.java,0,negative,False
eTour,UC1-1,FR,heldout,3,4,3-10,DBCulturalHeritage.java,1,positive,False
eTour,UC1-1,FR,heldout,3,4,3-10,Authentication.java,0,negative,False
eTour,UC1-1,FR,heldout,4,4,3-10,IDBCulturalHeritage.java,1,positive,False
eTour,UC1-1,FR,heldout,4,4,3-10,ReportStatistic.java,0,negative,False
eTour,UC1-2,NFR,heldout,5,4,3-10,CulturalHeritage.java,1,positive,False
eTour,UC1-2,NFR,heldout,5,4,3-10,ErrorMessage.java,0,negative,False
eTour,UC1-2,NFR,heldout,6,4,3-10,CulturalHeritageAgencyManager.java,1,positive,False
eTour,UC1-2,NFR,heldout,6,4,3-10,LimitedDocument.java,0,negative,False
eTour,UC1-2,NFR,heldout,7,4,3-10,DBCulturalHeritage.java,1,positive,False
eTour,UC1-2,NFR,heldout,7,4,3-10,IAuthentication.java,0,negative,False
eTour,UC1-2,NFR,heldout,8,4,3-10,IDBCulturalHeritage.java,1,positive,False
eTour,UC1-2,NFR,heldout,8,4,3-10,BeanRefreshmentPoint.java,0,negative,False
eTour,UC10,FR,validation,9,7,3-10,BeanRefreshmentPoint.java,1,positive,False
eTour,UC10,FR,validation,9,7,3-10,BannerRenderer.java,0,negative,False
eTour,UC10,FR,validation,10,7,3-10,DBRefreshmentPoint.java,1,positive,False
eTour,UC10,FR,validation,10,7,3-10,DBNews.java,0,negative,False
eTour,UC10,FR,validation,11,7,3-10,IDBRefreshmentPoint.java,1,positive,False
eTour,UC10,FR,validation,11,7,3-10,AdvertisementRefreshmentPointManager.java,0,negative,False
eTour,UC10,FR,validation,12,7,3-10,IRefreshmentPointAgencyManager.java,1,positive,False
eTour,UC10,FR,validation,12,7,3-10,IDBVisitPR.java,0,negative,False
eTour,UC10,FR,validation,13,7,3-10,IRefreshmentPointCommonManager.java,1,positive,False
eTour,UC10,FR,validation,13,7,3-10,IDBRefreshmentPointOperator.java,0,negative,False
eTour,UC10,FR,validation,14,7,3-10,RefreshmentPointAgencyManager.java,1,positive,False
eTour,UC10,FR,validation,14,7,3-10,CulturalHeritage.java,0,negative,False
eTour,UC10,FR,validation,15,7,3-10,RefreshmentPointCommonManager.java,1,positive,False
eTour,UC10,FR,validation,15,7,3-10,TouristCard.java,0,negative,False
eTour,UC11,FR,heldout,16,2,1-2,BeanConvention.java,1,positive,False
eTour,UC11,FR,heldout,16,2,1-2,Tourist.java,0,negative,False
eTour,UC11,FR,heldout,17,2,1-2,IDBConvention.java,1,positive,False
eTour,UC11,FR,heldout,17,2,1-2,CardBC.java,0,negative,False
eTour,UC12,FR,heldout,18,4,3-10,BeanTourist.java,1,positive,False
eTour,UC12,FR,heldout,18,4,3-10,DBRefreshmentPointOperator.java,0,negative,False
eTour,UC12,FR,heldout,19,4,3-10,Tourist.java,1,positive,False
eTour,UC12,FR,heldout,19,4,3-10,ControlData.java,0,negative,False
eTour,UC12,FR,heldout,20,4,3-10,TouristCommonManager.java,1,positive,False
eTour,UC12,FR,heldout,20,4,3-10,News.java,0,negative,False
eTour,UC12,FR,heldout,21,4,3-10,TouristTableModel.java,1,positive,False
eTour,UC12,FR,heldout,21,4,3-10,CulturalHeritageChecker.java,0,negative,False
eTour,UC13,FR,heldout,22,5,3-10,BeanTourist.java,1,positive,False
eTour,UC13,FR,heldout,22,5,3-10,StandardSearch.java,0,negative,False
eTour,UC13,FR,heldout,23,5,3-10,DBTourist.java,1,positive,False
eTour,UC13,FR,heldout,23,5,3-10,IDBVisitBC.java,0,negative,False
eTour,UC13,FR,heldout,24,5,3-10,IDBTourist.java,1,positive,False
eTour,UC13,FR,heldout,24,5,3-10,IRefreshmentPointCommonManager.java,0,negative,False
eTour,UC13,FR,heldout,25,5,3-10,ITouristAgencyManager.java,1,positive,False
eTour,UC13,FR,heldout,25,5,3-10,ListCategory.java,0,negative,False
eTour,UC13,FR,heldout,26,5,3-10,Tourist.java,1,positive,False
eTour,UC13,FR,heldout,26,5,3-10,DBLocationStatistic.java,0,negative,False
eTour,UC14,FR,heldout,27,5,3-10,BeanTourist.java,1,positive,False
eTour,UC14,FR,heldout,27,5,3-10,TouristCommonManager.java,0,negative,False
eTour,UC14,FR,heldout,28,5,3-10,IDBTourist.java,1,positive,False
eTour,UC14,FR,heldout,28,5,3-10,ScrollableTable.java,0,negative,False
eTour,UC14,FR,heldout,29,5,3-10,ITouristAgencyManager.java,1,positive,False
eTour,UC14,FR,heldout,29,5,3-10,IDBSearchPreference.java,0,negative,False
eTour,UC14,FR,heldout,30,5,3-10,RicercaAvanzata.java,1,positive,False
eTour,UC14,FR,heldout,30,5,3-10,DBTourist.java,0,negative,False
eTour,UC14,FR,heldout,31,5,3-10,TouristAgencyManager.java,1,positive,False
