Dataset,Req_ID,Type,Split,PairGroupID,GoldLinkCount,DensityGroup,Code_File,Label,PairRole,SampledWithReplacement
iTrust,UC10E1,FR,heldout,1,2,1-2,action/GetUserNameAction.java,1,positive,False
iTrust,UC10E1,FR,heldout,1,2,1-2,dao/mysql/SurveyDAO.java,0,negative,False
iTrust,UC10E1,FR,heldout,2,2,1-2,dao/mysql/AuthDAO.java,1,positive,False
iTrust,UC10E1,FR,heldout,2,2,1-2,action/EditPrescriptionAction.java,0,negative,False
iTrust,UC10E2,FR,heldout,3,2,1-2,action/GetUserNameAction.java,1,positive,False
iTrust,UC10E2,FR,heldout,3,2,1-2,dao/mysql/HospitalsDAO.java,0,negative,False
iTrust,UC10E2,FR,heldout,4,2,1-2,dao/mysql/AuthDAO.java,1,positive,False
iTrust,UC10E2,FR,heldout,4,2,1-2,action/ViewMyMessagesAction.java,0,negative,False
iTrust,UC10S1,Mixed,validation,5,7,3-10,action/EditHealthHistoryAction.java,1,positive,False
iTrust,UC10S1,Mixed,validation,5,7,3-10,action/ViewPatientOfficeVisitHistoryAction.java,0,negative,False
iTrust,UC10S1,Mixed,validation,6,7,3-10,action/EditPHRAction.java,1,positive,False
iTrust,UC10S1,Mixed,validation,6,7,3-10,action/ResetPasswordAction.java,0,negative,False
iTrust,UC10S1,Mixed,validation,7,7,3-10,dao/mysql/AuthDAO.java,1,positive,False
iTrust,UC10S1,Mixed,validation,7,7,3-10,validate/EditOfficeVisitValidator.java,0,negative,False
iTrust,UC10S1,Mixed,validation,8,7,3-10,dao/mysql/FamilyDAO.java,1,positive,False
iTrust,UC10S1,Mixed,validation,8,7,3-10,validate/LOINCBeanValidator.java,0,negative,False
iTrust,UC10S1,Mixed,validation,9,7,3-10,dao/mysql/HealthRecordsDAO.java,1,positive,False
iTrust,UC10S1,Mixed,validation,9,7,3-10,action/SurveyAction.java,0,negative,False
iTrust,UC10S1,Mixed,validation,10,7,3-10,dao/mysql/OfficeVisitDAO.java,1,positive,False
iTrust,UC10S1,Mixed,validation,10,7,3-10,beans/forms/VisitReminderReturnForm.java,0,negative,False
iTrust,UC10S1,Mixed,validation,11,7,3-10,dao/mysql/PersonnelDAO.java,1,positive,False
iTrust,UC10S1,Mixed,validation,11,7,3-10,Messages.java,0,negative,False
iTrust,UC10S2,FR,heldout,12,1,1-2,dao/mysql/TransactionDAO.java,1,positive,False
iTrust,UC10S2,FR,heldout,12,1,1-2,charts/AdverseEventsData.java,0,negative,False
iTrust,UC11E1,FR,validation,13,2,1-2,action/GetUserNameAction.java,1,positive,False
iTrust,UC11E1,FR,validation,13,2,1-2,beans/loaders/MedicationBeanLoader.java,0,negative,False
iTrust,UC11E1,FR,validation,14,2,1-2,dao/mysql/AuthDAO.java,1,positive,False
iTrust,UC11E1,FR,validation,14,2,1-2,beans/loaders/OfficeVisitLoader.java,0,negative,False
iTrust,UC11E2,FR,heldout,15,2,1-2,action/GetUserNameAction.java,1,positive,False
iTrust,UC11E2,FR,heldout,15,2,1-2,dao/DAOFactory.java,0,negative,False
iTrust,UC11E2,FR,heldout,16,2,1-2,dao/mysql/AuthDAO.java,1,positive,False
iTrust,UC11E2,FR,heldout,16,2,1-2,beans/loaders/OperationalProfileLoader.java,0,negative,False
